date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:10	3879/3879	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cb4070b9e38745b5cc6c862eb56fa9dd%22	https://endreox-html.vercel.app/robots.txt		(from )
17:11:10	86347/86347	---MCZ	200	added ('OK')	text/html	etag:W/%22775e8bad3889c83c746d36e3d98d10d9%22	https://endreox-html.vercel.app/	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/index.html	(from )
17:11:11	23494/23494	---M--	200	added ('OK')	image/png	etag:%22a62c711a748998a08fc69eb624ac6a49%22	https://endreox-html.vercel.app/assets/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/images/favicons/apple-touch-icon.png	(from https://endreox-html.vercel.app/)
17:11:11	1461/1461	---M--	200	added ('OK')	image/png	etag:%22aba8d9dea0e7b59c8cb3785754a98164%22	https://endreox-html.vercel.app/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/images/favicons/favicon-32x32.png	(from https://endreox-html.vercel.app/)
17:11:11	597/597	---M--	200	added ('OK')	image/png	etag:%22c28ba836173c6a54e61437f1eb0d7281%22	https://endreox-html.vercel.app/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/images/favicons/favicon-16x16.png	(from https://endreox-html.vercel.app/)
17:11:11	263/263	---M--	200	added ('OK')	application/manifest+json	etag:%22053100cb84a50d2ae7f5492f7dd7f25e%22	https://endreox-html.vercel.app/assets/images/favicons/site.webmanifest	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/images/favicons/site.webmanifest	(from https://endreox-html.vercel.app/)
17:11:11	154875/154875	---MCZ	200	added ('OK')	text/css	etag:W/%22bb84936d7c7700b31719a49340a42bd8%22	https://endreox-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://endreox-html.vercel.app/)
17:11:11	83884/83884	---MCZ	200	added ('OK')	text/css	etag:W/%228f6a0d1a63a3efde82d78da75011800a%22	https://endreox-html.vercel.app/assets/vendors/animate/animate.min.css	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/vendors/animate/animate.min.css	(from https://endreox-html.vercel.app/)
17:11:12	27526/27526	---MCZ	200	added ('OK')	text/css	etag:W/%2239862513cf23cb79593501c49c6f6985%22	https://endreox-html.vercel.app/assets/vendors/animate/custom-animate.css	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/vendors/animate/custom-animate.css	(from https://endreox-html.vercel.app/)
17:11:12	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22b227b1617a1763c8bc056772f05482b4%22	https://endreox-html.vercel.app/assets/vendors/fontawesome/css/all.min.css	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/vendors/fontawesome/css/all.min.css	(from https://endreox-html.vercel.app/)
17:11:12	321/321	---M--	200	added ('OK')	text/css	etag:%22d93b5afc3741add5cd0e2c418e2e2ef4%22	https://endreox-html.vercel.app/assets/vendors/jarallax/jarallax.css	C:/My%20Web%20Sites/ameterasu/endreox-html.vercel.app/assets/vendors/jarallax/jarallax.css	(from https://endreox-html.vercel.app/)
